Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Microcebus coquereli,Microcebus,Mirza coquereli,Mirza,Prosimian,No,0,0,0,0,0,0,0,2,3,,,,,
Nasalis larvatus,Nasalis,Nasalis larvatus,Nasalis,Simian,No,0,0,0,0,0,0,0,11,17,4,0,0,0,
Nycticebus coucang,Nycticebus,Nycticebus coucang,Nycticebus,Prosimian,No,0,0,0,0,0,0,0,7,37,,,,,
Nycticebus pygmaeus,Nycticebus,Nycticebus pygmaeus,Nycticebus,Prosimian,No,0,0,0,0,0,0,0,10,19,2,0,0,0,
Otolemur crassicaudatus,Otolemur,Otolemur crassicaudatus,Otolemur,Prosimian,No,2,0,2,1,1,0,1,11,36,8,2,1,0,
Otolemur garnettii,Otolemur,Otolemur garnettii,Otolemur,Prosimian,No,1,0,0,1,1,0,0,17,12,4,1,0,0,
Perodicticus potto,Perodicticus,Perodicticus potto,Perodicticus,Prosimian,No,0,0,0,0,0,0,0,1,10,,,,,
Eulemur coronatus,Eulemur,Petterus coronatus,Petterus,Prosimian,No,0,0,0,0,0,0,0,2,11,,,,,
Eulemur fulvus,Eulemur,Petterus fulvus,Petterus,Prosimian,No,3,0,3,1,0,0,0,24,81,8,3,1,0,
Eulemur macaco,Eulemur,Petterus macaco,Petterus,Prosimian,No,1,1,2,0,0,0,2,18,32,4,0,0,0,
Eulemur mongoz,Eulemur,Petterus mongoz,Petterus,Prosimian,No,1,0,1,0,0,0,0,6,13,1,1,0,0,
Eulemur rubriventer,Eulemur,Petterus rubriventer,Petterus,Prosimian,No,0,0,0,0,0,0,0,4,13,,,,,
Phaner furcifer,Phaner,Phaner furcifer,Phaner,Prosimian,No,0,0,0,0,0,0,0,1,1,1,0,0,0,
Pithecia aequatorialis,Pithecia,Pithecia aequatorialis,Pithecia,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Pithecia albicans,Pithecia,Pithecia albicans,Pithecia,Simian,No,0,0,0,0,0,0,0,1,1,,,,,
Pithecia irrorata,Pithecia,Pithecia irrorata,Pithecia,Simian,No,0,0,0,0,0,0,0,1,7,,,,,
Pithecia monachus,Pithecia,Pithecia monachus,Pithecia,Simian,No,0,0,0,0,0,0,0,,1,,,,,
Pithecia pithecia,Pithecia,Pithecia pithecia,Pithecia,Simian,No,0,0,0,0,0,0,0,10,28,,,,,
Trachypithecus auratus,Trachypithecus,Presbytis aurata,Presbytis,Simian,No,0,0,0,0,0,0,0,1,2,,,,,
Presbytis comata,Presbytis,Presbytis comata,Presbytis,Simian,No,0,0,0,0,0,0,0,,11,2,0,0,0,
Trachypithecus cristatus,Trachypithecus,Presbytis cristata,Presbytis,Simian,No,0,0,0,0,0,0,0,4,8,2,0,0,0,
Trachypithecus delacouri,Trachypithecus,Presbytis delacouri,Presbytis,Simian,No,0,0,0,0,0,0,0,1,,,,,,
Semnopithecus entellus,Semnopithecus,Presbytis entellus,Presbytis,Simian,No,7,0,3,2,4,0,0,41,98,19,6,2,0,
Trachypithecus francoisi,Trachypithecus,Presbytis francoisi,Presbytis,Simian,No,0,0,0,0,0,0,0,7,45,3,0,0,0,
Presbytis frontata,Presbytis,Presbytis frontata,Presbytis,Simian,No,0,0,0,0,0,0,0,,1,,,,,
Presbytis geei,Presbytis,Presbytis geei,Presbytis,Simian,No,0,0,0,0,0,0,0,,7,,,,,
Trachypithecus johnii,Trachypithecus,Presbytis johnii,Presbytis,Simian,No,0,0,0,1,0,0,0,1,9,,,,,
Presbytis melalophos,Presbytis,Presbytis melalophos,Presbytis,Simian,No,0,0,0,0,0,0,0,1,6,1,0,0,0,
Trachypithecus obscurus,Trachypithecus,Presbytis obscura,Presbytis,Simian,No,0,0,0,0,0,0,0,1,6,,,,,
Trachypithecus phayrei,Trachypithecus,Presbytis phayrei,Presbytis,Simian,No,0,0,0,0,0,0,0,1,16,1,0,0,0,
Trachypithecus pileatus,Trachypithecus,Presbytis pileatus,Presbytis,Simian,No,0,0,0,0,0,0,0,2,5,,,,,
Presbytis potenziani,Presbytis,Presbytis potenziani,Presbytis,Simian,No,0,0,0,0,0,0,0,,3,,,,,
